bom_id,oper,part_id,qty
IA000039,3720,1011CA244A,0.008
IA000060,3720,1011CA265A,0.008
IA000097,3720,1011CA308A,0.008
YU020603,2070,1071F76004,0.000
YU020603,2200,1091A08T41,0.000
YU020603,2300,108192HF36,0.000
YU020603,2070,120100185B,0.000
YU020603,3720,1011CA176A,0.014
Y1012604,2070,120100158A,0.000
Y1012604,2070,1071P10764,0.000
Y1012604,2200,1091A08T41,0.000
Y1012604,2300,1081G700L1,0.000
Y1012604,3720,1011CA104A,0.014
YU020611,2070,1071F76004,0.000
YU020611,2200,1091A08T41,0.000
YU020611,2300,108192HF36,0.000
YU020611,2070,120100185B,0.000
YU020611,3720,1011CA176A,0.014
XT345075,2052,1221C20016,7000.000
XT345075,2052,1221I20010,1000.000
XT345075,2052,1221R20006,2000.000
XT345075,2052,1221R20005,1000.000
XT345075,2052,1221BA0006,1000.000
XT345075,2052,1221S50002,1000.000
XT345075,2070,121102197A,1000.000
XT345075,2430,1011TR755A,7.237
XT345075,2070,1071F76004,0.944
XT345075,2130,1071F76004,0.151
XT345075,3130,1071F76004,0.317
XT345075,3330,1071F310JB,1.645
XT345075,4130,1071F76001,4.935
XT345075,4330,1071F76001,1.645
XT345075,4530,1071F76001,4.935
XT345075,2200,1091A07C41,250.996
XT345075,3200,1091A07C41,138.704
XT345075,3400,1091A07C41,133.940
XT345075,2300,1081GE100C,0.324
XT345075,2052,1101T70525,8.680
XT345075,2410,1101L70528,345.000
XT345075,2052,SUBMATSNV332,1000.000
XT345075,2070,SUBMATWNV070,1000.000
XT345075,2130,SUBMATWNV069,1000.000
XT345075,3130,SUBMATWNV157,1000.000
XT345075,3330,SUBMATWNV310,1000.000
XT345075,4130,SUBMATWNV311,3000.000
XT345075,4330,SUBMATWNV312,1000.000
XT345075,4530,SUBMATWNV311,3000.000
IA000031,3720,1011CA232B,0.008
OK008601,2300,10819240H5,0.000
OK008601,2070,120100022A,0.000
OK008601,3720,1011CA254A,0.014
OK008601,2070,1241FAC26S,0.000
IA000140,3720,1011CA349A,0.008
YK010631,2070,120101107A,0.000
YK010631,2070,1071P10764,0.000
YK010631,2200,1091A08T41,0.000
YK010631,2300,108192HF42,0.000
YK010631,2410,1011CA106A,0.014
YU020604,2070,1071F76004,0.000
YU020604,2200,1091A08T41,0.000
YU020604,2300,108192HF36,0.000
YU020604,2070,120100185B,0.000
YU020604,3720,1011CA176A,0.014
OL014602,2070,120100167A,0.000
OL014602,2300,108192HF36,0.000
OL014602,3720,1011CA296A,0.014
OL014602,2070,1241FAC26S,0.000
OA014603,2300,10819240H5,0.000
OA014603,2070,120100163A,0.000
OA014603,3720,1011CA296A,0.014
OA014603,2070,1241FAC26S,0.000
IA000114,3720,1011CA310A,0.016
Y3012603,2300,10819240H5,0.000
Y3012603,2070,120100153A,0.000
Y3012603,3720,1011CA295A,0.014
Y3012603,2070,1241FAC26S,0.000
YK008646,2070,120101106A,0.000
YK008646,2070,1071P10764,0.000
YK008646,2200,1091A08T41,0.000
YK008646,2300,108192HF42,0.000
YK008646,2410,1011CA106A,0.014
IA000015,3720,1011CA201B,0.008
IA000112,3720,1011CA312A,0.008
YK010634,2070,120101109A,0.000
YK010634,2070,1071P10764,0.000
YK010634,2200,1091A08T41,0.000
YK010634,2300,108192HF42,0.000
YK010634,3720,1011CA106A,0.014
2J028035,2300,1081A381C1,0.203
Y3012604,2300,10819240H5,0.000
Y3012604,2070,120100155A,0.000
Y3012604,3720,1011CA295A,0.014
Y3012604,2070,1241FAC26S,0.000
IA000017,3720,1011CA203B,0.016
IA000158,3720,1011CA358A,0.016
IA000E14,3720,1011CA363A,0.008
IA000050,3720,1011CA246A,0.016
Y6008007,2070,120101085A,1000.000
Y6008007,2070,1071F76004,0.102
Y6008007,2200,1091A07T41,10.650
Y6008007,2300,1081G700L1,0.034
Y6008007,2410,1231BAS00A,0.070
XT345091,2052,1221C20016,5000.000
XT345091,2052,1221R20006,1000.000
XT345091,2052,1221R20005,1000.000
XT345091,2052,1221I20010,1000.000
XT345091,2070,121102136A,1000.000
XT345091,2430,1011TR755A,7.237
XT345091,2070,1071F350L2,0.011
XT345091,2130,1071F76004,0.317
XT345091,3130,1071F76004,0.132
XT345091,3330,1071F76004,0.828
XT345091,4130,1071F310JB,1.008
XT345091,4330,1071F76001,3.024
XT345091,4530,1071F76001,1.008
XT345091,4730,1071F76001,3.024
XT345091,2200,1091A07C41,267.912
XT345091,3200,1091A08C41,244.214
XT345091,3400,1091A08C41,194.584
XT345091,2300,1081GE100C,0.358
XT345091,2052,1101T70525,8.680
XT345091,2410,1101L70528,345.000
XT345091,2070,SUBMATWNV022,1000.000
XT345091,2130,SUBMATWNV157,1000.000
XT345091,3130,SUBMATWNV220,1000.000
XT345091,3330,SUBMATWNV221,1000.000
XT345091,4130,SUBMATWNV390,1000.000
XT345091,4330,SUBMATWNV391,3000.000
XT345091,4530,SUBMATWNV392,1000.000
XT345091,4730,SUBMATWNV391,3000.000
XT345091,2052,SUBMATSNV392,1000.000
IA000090,3720,1011CA235A,0.008
X2132430,2070,121102061A,1000.000
X2132430,2430,1011TR726A,9.821
X2132430,2070,1071F76004,4.608
X2132430,2130,1071F310JB,2.304
X2132430,3130,1071F76004,2.304
X2132430,2200,1091A07C41,145.236
X2132430,3200,1091A07C41,153.316
X2132430,2300,1081GE100C,0.328
X2132430,2410,1101L70542,132.000
X2132430,2070,SUBMATWNV532,4000.000
X2132430,2130,SUBMATWNV533,2000.000
X2132430,3130,SUBMATWNV532,2000.000
XT345078,2052,1221C20016,5000.000
XT345078,2052,1221R20006,1000.000
XT345078,2052,1221R20005,1000.000
XT345078,2052,1221R20007,1000.000
XT345078,2052,1221R20008,1000.000
XT345078,2052,1221I20010,1000.000
XT345078,2070,121101905A,1000.000
XT345078,2430,1011TR439A,7.237
XT345078,2070,1071F350L2,0.010
XT345078,2130,1071F350L2,0.038
XT345078,3130,1071F76004,0.317
XT345078,3330,1071F76004,0.132
XT345078,4130,1071F76004,0.823
XT345078,4330,1071F310JB,1.008
XT345078,4530,1071F76001,1.008
XT345078,4730,1071F76001,2.016
XT345078,2200,1091A07C41,266.298
XT345078,3200,1091A08C41,172.958
XT345078,3400,1091A08C41,179.458
XT345078,2300,1081GE100C,0.162
XT345078,2052,1101T70525,8.680
XT345078,2410,1101L70530,345.000
XT345078,2052,SUBMATSNV339,1000.000
XT345078,2070,SUBMATWNV022,1000.000
XT345078,2130,SUBMATWNV023,1000.000
XT345078,3130,SUBMATWNV157,1000.000
XT345078,3330,SUBMATWNV220,1000.000
XT345078,4130,SUBMATWNV221,1000.000
XT345078,4330,SUBMATWNV360,1000.000
XT345078,4530,SUBMATWNV361,1000.000
XT345078,4730,SUBMATWNV361,2000.000
IA000025,3720,1011CA218B,0.004
IA000122,3720,1011CA332A,0.008
OF016604,2300,108192HF36,0.000
OF016604,2070,120100169A,0.000
OF016604,3720,1011CA214A,0.014
OF016604,2070,1241FAC26S,0.000
IA000045,2021,1071FC86R3,0.111
IA000045,3720,1011CA245A,0.016
6A008233,2052,1221C20040,7000.000
6A008233,2070,121101916A,1000.000
6A008233,2434,1011TR727A,9.167
6A008233,2070,1071F350L1,0.040
6A008233,2130,1071F76004,1.048
6A008233,2200,1091A06C41,78.844
6A008233,2300,1081E770A1,0.297
6A008233,2052,1101T70525,8.680
6A008233,2070,SUBMATWNV448,1000.000
6A008233,2130,SUBMATWNV511,1000.000
6A008233,2052,SUBMATSNV381,1000.000
6A008257,2052,1221C20036,3000.000
6A008257,2052,1221C20037,5000.000
6A008257,2052,1221R20049,1000.000
6A008257,2070,121101900A,1000.000
6A008257,2434,1011TR753A,9.167
6A008257,2070,1071F350L1,0.043
6A008257,2130,1071F76004,1.488
6A008257,2200,1091A06C41,96.630
6A008257,2300,1081E770A1,0.297
6A008257,2052,1101T70525,8.680
6A008257,2070,SUBMATWNV182,1000.000
6A008257,2130,SUBMATWNV552,1000.000
6A008257,2052,SUBMATSNV414,1000.000
6A008243,2052,1221C20036,3000.000
6A008243,2052,1221C20037,5000.000
6A008243,2052,1221R20049,1000.000
6A008243,2070,121101900A,1000.000
6A008243,2434,1011TR753A,9.167
6A008243,2070,1071F350L1,0.047
6A008243,2130,1071F76004,0.000
6A008243,2200,1091A06C41,96.630
6A008243,2300,1081E770A1,0.297
6A008243,2052,1101T70525,8.680
6A008243,2070,SUBMATWNV182,1000.000
6A008243,2130,SUBMATWNV528,1000.000
6A008243,2052,SUBMATSNV391,1000.000
IA000087,2021,1071FC86R3,0.111
IA000087,3720,1011CA306A,0.016
EF096045,2070,121101350B,1000.000
EF096045,2430,1011TR333B,5.789
EF096045,2070,1071P62022,4.192
EF096045,2130,1071F310JB,0.975
EF096045,2200,1091A07C21,84.490
EF096045,3200,1091A09C21,129.000
EF096045,2300,10819240HF,0.260
EF096045,2410,1101L70545,96.000
EF096045,2070,SUBMATWBU039,1000.000
EF096045,2130,SUBMATWBU040,1000.000
6B008041,2052,1221C20040,7000.000
6B008041,2052,1221R20072,2000.000
6B008041,2070,121102367A,1000.000
6B008041,2434,1011TR746A,9.167
6B008041,2070,1071F350L1,0.092
6B008041,2130,1071F76020,1.488
6B008041,3130,1071F76010,4.464
6B008041,3330,1071F76020,1.488
6B008041,4130,1071F76010,4.464
6B008041,2200,1091A06C41,188.438
6B008041,3200,1091A06C41,129.934
6B008041,2300,1081G771F1,0.260
6B008041,2052,1101T70525,8.680
6B008041,2070,SUBMATWEU050,1000.000
6B008041,2130,SUBMATWEU051,1000.000
6B008041,3130,SUBMATWEU052,3000.000
6B008041,3330,SUBMATWEU051,1000.000
6B008041,4130,SUBMATWEU052,3000.000
6B008041,2052,SUBMATSEU023,1000.000
XT153245,2052,1221C20016,2000.000
XT153245,2070,121102307A,1000.000
XT153245,2430,1011TR439A,7.237
XT153245,2070,1071F350L1,0.133
XT153245,2130,1071F76004,1.137
XT153245,2200,1091A08C41,146.338
XT153245,2300,1081760LB7,0.322
XT153245,2052,1101T70525,8.680
XT153245,2410,1101L75830,153.000
XT153245,2070,SUBMATWNV450,1000.000
XT153245,2130,SUBMATWNV451,1000.000
XT153245,2052,SUBMATSNV404,1000.000
IA000096,2021,1071FC86R3,0.075
IA000096,3720,1011CA301A,0.008
Y2088004,2070,120101142A,1000.000
Y2088004,2430,1011TR172A,6.548
Y2088004,2070,1071P49001,2.473
Y2088004,2130,1071F76001,0.096
Y2088004,2200,1091C08TP2,426.832
Y2088004,2300,108192HF4B,0.248
Y2088004,2410,1231BAS00A,0.070
Y2088004,2070,SUBMATWMF003,1000.000
Y2088004,2130,SUBMATWMF002,1000.000
OF016606,3720,1011CA214A,0.014
OF016606,2070,120100169A,0.000
OF016606,2300,108192HF36,0.000
OF016606,2070,1241FAC26S,0.000
6A008191,2052,1221C20040,6000.000
6A008191,2070,121101916A,1000.000
6A008191,2434,1011TR727A,9.167
6A008191,2070,1071F350L1,0.040
6A008191,2130,1071F76001,1.008
6A008191,2200,1091A06C41,78.844
6A008191,2300,1081E770A1,0.297
6A008191,2052,1101T70525,8.680
6A008191,2052,SUBMATSNV296,1000.000
6A008191,2070,SUBMATWNV419,1000.000
6A008191,2130,SUBMATWNV207,1000.000
6A008190,2052,1221C20040,6000.000
6A008190,2070,121101916A,1000.000
6A008190,2434,1011TR727A,9.167
6A008190,2070,1071F350L1,0.040
6A008190,2130,1071F76001,1.008
6A008190,2200,1091A06C41,78.844
6A008190,2300,1081E770A1,0.297
6A008190,2052,1101T70525,8.680
6A008190,2070,SUBMATWNV419,1000.000
6A008190,2130,SUBMATWNV199,1000.000
6A008190,2052,SUBMATSNV295,1000.000
6A008250,2052,1221C20040,6000.000
6A008250,2070,121101916A,1000.000
